,Latitude,Longitude,Cell No/identifier,date,SOPT,MROPT,hydrlic_conduc,Rain_Duration,Rain_Intensity,Saturation,MR,geometry
0,45.263752,-93.71294,127,08-09-2020,0.2515,30000,7.39,4.0,0.36750000000000005,0.31012,25893.31,POINT (-93.71294 45.263752)
1,45.264146,-93.713659,188,08-12-2020,0.2625,28000,0.919,4.5,0.34,0.38123,21172.17,POINT (-93.713659 45.264146)
2,45.264544,-93.714397,189,08-14-2020,0.3448,25000,0.739,3.25,0.2,0.31609,26563.59,POINT (-93.714397 45.264544)
3,45.262932,-93.711427,328,08-12-2020,0.3,25000,0.738,4.5,0.34,0.35338,21841.99,POINT (-93.711427 45.262932)
